months,race,contrabn,stops,month_tot,race_prop
2004-05-01,A,1,45,858.0,0.05244755244755245
2004-05-01,B,0,13163,13163.0,1.0
2004-05-01,H,0,7154,7231.0,0.989351403678606
2004-05-01,H,1,77,7231.0,0.010648596321393998
2004-05-01,W,0,2229,2359.0,0.9448919033488766
2004-05-01,W,1,130,2359.0,0.05510809665112336
2004-06-01,A,0,713,744.0,0.9583333333333334
2004-06-01,A,1,31,744.0,0.041666666666666664
2004-06-01,B,0,13724,14778.0,0.9286777642441467
2004-06-01,B,1,1054,14778.0,0.0713222357558533
2004-06-01,H,0,8382,8409.0,0.9967891544773457
2004-06-01,H,1,27,8409.0,0.003210845522654299
2004-06-01,W,0,2640,2640.0,1.0
2004-07-01,A,0,517,531.0,0.9736346516007532
2004-07-01,A,1,14,531.0,0.026365348399246705
2004-07-01,B,0,11372,11372.0,1.0
2004-07-01,H,0,5391,5391.0,1.0
2004-07-01,W,0,1973,2105.0,0.93729216152019
2004-07-01,W,1,132,2105.0,0.06270783847980997
2004-08-01,A,0,533,542.0,0.9833948339483395
2004-08-01,A,1,9,542.0,0.016605166051660517
2004-08-01,B,0,9542,10011.0,0.9531515333133553
2004-08-01,B,1,469,10011.0,0.04684846668664469
2004-08-01,H,0,5278,5304.0,0.9950980392156863
2004-08-01,H,1,26,5304.0,0.004901960784313725
2004-08-01,W,0,2125,2125.0,1.0
2004-09-01,A,0,510,521.0,0.9788867562380038
2004-09-01,A,1,11,521.0,0.02111324376199616
2004-09-01,B,0,8837,8837.0,1.0
2004-09-01,H,0,4951,5109.0,0.9690741828146409
2004-09-01,H,1,158,5109.0,0.03092581718535917
2004-09-01,W,0,1859,1933.0,0.9617175375064666
2004-09-01,W,1,74,1933.0,0.03828246249353337
2004-10-01,A,0,575,625.0,0.92
2004-10-01,A,1,50,625.0,0.08
2004-10-01,B,0,10883,11350.0,0.9588546255506608
2004-10-01,B,1,467,11350.0,0.04114537444933921
2004-10-01,H,0,6375,6705.0,0.9507829977628636
2004-10-01,H,1,330,6705.0,0.049217002237136466
2004-10-01,W,0,2388,2493.0,0.9578820697954272
2004-10-01,W,1,105,2493.0,0.0421179302045728
2004-11-01,A,0,657,657.0,1.0
2004-11-01,B,0,11191,11565.0,0.967661046260268
2004-11-01,B,1,374,11565.0,0.03233895373973195
2004-11-01,H,0,6605,6605.0,1.0
2004-11-01,W,0,2029,2241.0,0.9053993752788934
2004-11-01,W,1,212,2241.0,0.09460062472110665
2004-12-01,A,0,507,518.0,0.9787644787644788
2004-12-01,A,1,11,518.0,0.021235521235521235
2004-12-01,B,0,8818,8818.0,1.0
2004-12-01,H,0,4988,5049.0,0.9879183996831056
2004-12-01,H,1,61,5049.0,0.012081600316894434
2004-12-01,W,0,2008,2008.0,1.0
2005-01-01,A,0,1248,1248.0,1.0
2005-01-01,B,0,15809,16623.0,0.9510317030620224
2005-01-01,B,1,814,16623.0,0.0489682969379775
2005-01-01,H,0,9749,9821.0,0.9926687710009164
2005-01-01,H,1,72,9821.0,0.007331228999083597
2005-01-01,W,0,3109,3109.0,1.0
2005-02-01,A,0,1340,1340.0,1.0
2005-02-01,B,0,17902,17902.0,1.0
2005-02-01,H,0,11165,11165.0,1.0
2005-02-01,W,0,3913,3913.0,1.0
2005-03-01,A,0,1373,1405.0,0.9772241992882562
2005-03-01,A,1,32,1405.0,0.022775800711743774
2005-03-01,B,0,17290,17897.0,0.9660837011789686
2005-03-01,B,1,607,17897.0,0.033916298821031456
2005-03-01,H,0,11905,11905.0,1.0
2005-03-01,W,0,4982,4982.0,1.0
2005-04-01,A,0,1256,1295.0,0.9698841698841699
2005-04-01,A,1,39,1295.0,0.030115830115830116
2005-04-01,B,0,18002,18002.0,1.0
2005-04-01,H,0,10758,11201.0,0.9604499598250156
2005-04-01,H,1,443,11201.0,0.039550040174984376
2005-04-01,W,0,4301,4301.0,1.0
